symbol,value
—,0
œ,1
Š,2
™,3
‡,4
Š,5
›,6
”,7
†,8
š,9
›,10
„,11
Ž,12
Ž,13
˜,14
š,15
œ,16
˜,17
ž,18
œ,19
„,20
–,21
ƒ,22
ƒ,23
‘,24
Ÿ,25
˜,26
–,27
›,28
›,29
˜,30
‰,31
Š,32
€,33
˜,34
ž,35
’,36
„,37
ž,38
š,39
‰,40
†,41
ˆ,42
—,43
”,44
„,45
™,46
“,47
—,48
’,49
›,50
›,51
‰,52
•,53
–,54
‡,55
ˆ,56
†,57
“,58
”,59
“,60
ƒ,61
”,62
„,63
ˆ,64
ž,65
—,66
ž,67
‡,68
Ÿ,69
“,70
š,71
‰,72
ž,73
š,74
…,75
Š,76
ž,77
˜,78
‚,79
Œ,80
›,81
Ž,82
Ÿ,83
…,84
€,85
‹,86
‹,87
…,88
Ÿ,89
…,90
œ,91
™,92
’,93
“,94
–,95
‡,96
–,97
™,98
ƒ,99
†,100
‰,101
†,102
Ÿ,103
—,104
’,105
—,106
”,107
—,108
š,109
‰,110
ž,111
‹,112
’,113
›,114
Ÿ,115
Ÿ,116
œ,117
€,118
ƒ,119
›,120
’,121
—,122
—,123
–,124
‹,125
—,126
›,127
‚,128
’,129
’,130
‘,131
”,132
—,133
„,134
˜,135
Ÿ,136
Š,137
…,138
•,139
–,140
Š,141
‚,142
”,143
‡,144
™,145
Ž,146
Ÿ,147
€,148
’,149
…,150
ƒ,151
‰,152
”,153
Œ,154
—,155
„,156
—,157
›,158
•,159
ƒ,160
Š,161
’,162
…,163
›,164
‘,165
€,166
—,167
’,168
’,169
˜,170
†,171
™,172
•,173
†,174
€,175
Ž,176
‡,177
†,178
‚,179
‚,180
‡,181
ƒ,182
€,183
‘,184
“,185
”,186
—,187
•,188
‰,189
‰,190
—,191
‘,192
‰,193
œ,194
Ÿ,195
‘,196
œ,197
Ž,198
Œ,199
•,200
Ÿ,201
’,202
—,203
”,204
™,205
–,206
‹,207
Ÿ,208
‚,209
‹,210
ˆ,211
€,212
›,213
†,214
›,215
›,216
…,217
’,218
‡,219
”,220
‚,221
˜,222
›,223
˜,224
ƒ,225
™,226
ƒ,227
’,228
˜,229
ž,230
—,231
†,232
•,233
™,234
œ,235
Ÿ,236
‡,237
‘,238
—,239
…,240
˜,241
™,242
™,243
€,244
ƒ,245
š,246
“,247
€,248
“,249
™,250
‚,251
€,252
‰,253
‡,254
‡,255
…,256
–,257
Ž,258
†,259
’,260
„,261
Ž,262
„,263
†,264
‚,265
Œ,266
Œ,267
Š,268
‚,269
ƒ,270
Ž,271
“,272
‰,273
ƒ,274
“,275
†,276
–,277
™,278
–,279
ˆ,280
‰,281
Œ,282
ƒ,283
…,284
†,285
’,286
‰,287
‡,288
“,289
ƒ,290
‡,291
‚,292
“,293
•,294
ƒ,295
š,296
Ž,297
›,298
ˆ,299
Ž,300
ž,301
œ,302
…,303
“,304
Ž,305
”,306
™,307
Œ,308
›,309
ˆ,310
‰,311
š,312
Ž,313
‡,314
˜,315
š,316
œ,317
…,318
›,319
—,320
†,321
—,322
”,323
ˆ,324
™,325
“,326
‘,327
‰,328
‹,329
‰,330
‰,331
’,332
„,333
‹,334
‚,335
‡,336
’,337
•,338
‡,339
…,340
‰,341
’,342
Ÿ,343
–,344
”,345
š,346
‘,347
—,348
‰,349
™,350
›,351
ˆ,352
‚,353
ž,354
‘,355
ƒ,356
•,357
—,358
ƒ,359
›,360
•,361
’,362
‚,363
„,364
‘,365
‹,366
•,367
„,368
…,369
Œ,370
‡,371
‹,372
”,373
’,374
š,375
Ÿ,376
ž,377
”,378
š,379
—,380
ž,381
™,382
—,383
ˆ,384
–,385
•,386
ž,387
œ,388
‘,389
Œ,390
™,391
’,392
‹,393
„,394
‘,395
„,396
–,397
‹,398
“,399
’,400
—,401
œ,402
‘,403
“,404
”,405
Ÿ,406
œ,407
œ,408
—,409
‰,410
–,411
›,412
„,413
‘,414
†,415
…,416
‰,417
ž,418
ƒ,419
•,420
ž,421
˜,422
ˆ,423
”,424
‹,425
ž,426
›,427
‚,428
„,429
œ,430
‚,431
‚,432
ž,433
Ÿ,434
™,435
›,436
ˆ,437
œ,438
“,439
’,440
†,441
Œ,442
—,443
™,444
Ÿ,445
œ,446
—,447
Ÿ,448
ˆ,449
…,450
‹,451
™,452
’,453
‘,454
Ÿ,455
‡,456
•,457
‚,458
Œ,459
ˆ,460
™,461
€,462
‡,463
œ,464
—,465
„,466
ƒ,467
™,468
Š,469
‡,470
„,471
•,472
‚,473
›,474
—,475
‘,476
Ÿ,477
Ž,478
Ÿ,479
˜,480
€,481
‚,482
›,483
”,484
‹,485
Ž,486
‘,487
™,488
„,489
–,490
‘,491
œ,492
Ž,493
‰,494
•,495
›,496
Ž,497
ž,498
š,499
